iter	Passed	Remaining
0	37	26446
1	61	21617
2	86	20068
3	120	21026
4	146	20425
5	180	20844
6	204	20274
7	231	20002
8	254	19575
9	280	19331
10	303	19029
11	333	19118
12	357	18906
13	385	18901
14	408	18673
15	432	18477
16	458	18423
17	481	18243
18	506	18168
19	541	18408
20	566	18325
21	590	18198
22	614	18089
23	637	17966
24	661	17853
25	684	17732
26	707	17627
27	730	17530
28	755	17471
29	778	17389
30	801	17298
31	823	17193
32	847	17126
33	872	17092
34	900	17100
35	923	17034
36	947	16985
37	979	17069
38	1008	17095
39	1029	16983
40	1056	16973
41	1080	16922
42	1105	16887
43	1127	16816
44	1152	16778
45	1182	16806
46	1209	16803
47	1234	16763
48	1274	16932
49	1299	16893
50	1327	16889
51	1353	16870
52	1375	16787
53	1398	16729
54	1420	16658
55	1441	16581
56	1474	16635
57	1494	16547
58	1518	16498
59	1540	16434
60	1564	16390
61	1586	16330
62	1610	16287
63	1633	16230
64	1660	16223
65	1683	16175
66	1711	16165
67	1733	16114
68	1760	16101
69	1783	16048
70	1807	16014
71	1832	15980
72	1859	15973
73	1887	15970
74	1913	15944
75	1937	15909
76	1960	15863
77	1987	15846
78	2010	15802
79	2035	15773
80	2057	15724
81	2082	15691
82	2100	15617
83	2122	15565
84	2144	15518
85	2167	15475
86	2190	15431
87	2213	15393
88	2234	15340
89	2257	15301
90	2279	15256
91	2302	15213
92	2324	15172
93	2346	15127
94	2368	15086
95	2390	15042
96	2413	15001
97	2440	14988
98	2467	14980
99	2490	14945
100	2515	14920
101	2544	14915
102	2567	14884
103	2590	14846
104	2611	14801
105	2633	14756
106	2654	14712
107	2675	14667
108	2697	14623
109	2718	14581
110	2740	14540
111	2760	14495
112	2781	14450
113	2803	14412
114	2825	14372
115	2847	14335
116	2868	14295
117	2890	14257
118	2912	14217
119	2932	14175
120	2954	14139
121	2977	14105
122	2999	14070
123	3022	14040
124	3044	14006
125	3065	13965
126	3088	13936
127	3101	13861
128	3123	13827
129	3146	13794
130	3167	13758
131	3188	13720
132	3212	13693
133	3236	13668
134	3258	13638
135	3281	13607
136	3304	13578
137	3327	13549
138	3349	13516
139	3373	13492
140	3394	13458
141	3418	13435
142	3441	13404
143	3463	13374
144	3487	13347
145	3510	13319
146	3534	13294
147	3555	13261
148	3578	13232
149	3600	13202
150	3624	13179
151	3650	13160
152	3673	13131
153	3696	13106
154	3722	13089
155	3748	13071
156	3769	13038
157	3793	13013
158	3815	12981
159	3839	12957
160	3861	12926
161	3883	12897
162	3905	12867
163	3927	12836
164	3950	12808
165	3973	12781
166	3995	12752
167	4019	12726
168	4042	12700
169	4066	12678
170	4090	12655
171	4113	12628
172	4135	12596
173	4155	12563
174	4176	12530
175	4200	12507
176	4224	12483
177	4247	12457
178	4272	12434
179	4296	12412
180	4322	12393
181	4348	12376
182	4375	12359
183	4399	12338
184	4421	12308
185	4442	12276
186	4464	12246
187	4485	12216
188	4507	12186
189	4528	12156
190	4550	12126
191	4573	12100
192	4595	12072
193	4618	12045
194	4639	12016
195	4662	11988
196	4684	11960
